2025-08-29T10:08:17 | Topic removed | name=US-China Trade Policy | id=us_china_trade_policy | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:1242 | rels=6 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Euro Area Inflation | id=euro_inflation | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:1811 | rels=0 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Fed Policy Uncertainty | id=fed_policy_uncertainty | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3852 | rels=5 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=Household Balance Sheet | id=household_balance_sheet | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3865 | rels=2 | reason=minimal_prune_not_crucial
2025-08-29T10:08:17 | Topic removed | name=US Inflation | id=us_inflation | element_id=4:1261c812-078c-477f-8006-c216977b0e7c:3930 | rels=0 | reason=minimal_prune_not_crucial
2025-08-29T11:22:35 | Retrieved articles | Fed Policy | Retrieved 4 from API
2025-08-29T19:40:39 | Enrichment check | gilt10y | section=current
2025-08-29T19:40:39 | Pipeline complete | pipeline | run complete
2025-08-29T19:40:40 | Retrieved articles | Euro Stoxx 50 | Retrieved 0 from API
2025-08-29T19:40:40 | Enrichment check | sx5e | section=fundamental
2025-08-29T19:41:21 | Enrichment check | sx5e | section=medium
2025-08-29T19:41:43 | Enrichment check | sx5e | section=current
2025-08-29T19:41:43 | Pipeline complete | pipeline | run complete
2025-08-29T19:41:44 | Retrieved articles | SOFR | Retrieved 10 from API
2025-08-29T19:44:11 | Node relationship created | fed_policy->ecb_policy | type=PEERS
2025-08-29T19:44:15 | No replacement of article | fed_policy | new_article=U21K4ALYQ
2025-08-29T19:44:15 | Added article | U21K4ALYQ | to existing topic fed_policy
2025-08-29T19:44:55 | Node relationship removed | us_inflation->gold | type=INFLUENCES
2025-08-29T19:44:55 | Node relationship created | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:44:59 | No replacement of article | us_inflation | new_article=U21K4ALYQ
2025-08-29T19:44:59 | Added article | U21K4ALYQ | to existing topic us_inflation
2025-08-29T19:45:21 | Relationship duplicate | ust10y->ust30y | type=INFLUENCES
2025-08-29T19:45:25 | No replacement of article | ust10y | new_article=U21K4ALYQ
2025-08-29T19:45:25 | Added article | U21K4ALYQ | to existing topic ust10y
2025-08-29T19:46:13 | Node relationship removed | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:46:13 | Node relationship created | fed_policy->usdjpy | type=INFLUENCES
2025-08-29T19:46:14 | Replacement of article skipped | fed_policy | tf=medium cnt=1 < 5
2025-08-29T19:46:14 | Added article | LYMZ7AFDY | to existing topic fed_policy
2025-08-29T19:46:36 | Node relationship created | us_unemployment_claims->dxy | type=INFLUENCES
2025-08-29T19:46:36 | Replacement of article skipped | us_unemployment_claims | tf=medium cnt=0 < 5
2025-08-29T19:46:36 | Added article | LYMZ7AFDY | to existing topic us_unemployment_claims
2025-08-29T19:47:03 | Node relationship created | spx->us_unemployment_claims | type=CORRELATES_WITH
2025-08-29T19:47:04 | Replacement of article skipped | spx | tf=medium cnt=1 < 5
2025-08-29T19:47:04 | Added article | LYMZ7AFDY | to existing topic spx
2025-08-29T19:47:25 | Node relationship created | sofr->ust10y | type=INFLUENCES
2025-08-29T19:47:25 | Replacement of article skipped | ust10y | tf=medium cnt=1 < 5
2025-08-29T19:47:25 | Added article | LYMZ7AFDY | to existing topic ust10y
2025-08-29T19:49:13 | Node relationship removed | fed_policy->usdjpy | type=INFLUENCES
2025-08-29T19:49:13 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:49:13 | Replacement of article skipped | fed_policy | tf=fundamental cnt=2 < 5
2025-08-29T19:49:13 | Added article | LF0UUL917 | to existing topic fed_policy
2025-08-29T19:49:41 | Node relationship removed | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:49:41 | Node relationship created | us_inflation->gold | type=INFLUENCES
2025-08-29T19:49:41 | Replacement of article skipped | us_inflation | tf=fundamental cnt=3 < 5
2025-08-29T19:49:41 | Added article | LF0UUL917 | to existing topic us_inflation
2025-08-29T19:50:09 | Node relationship created | ust10y->jgb10y | type=CORRELATES_WITH
2025-08-29T19:50:09 | Replacement of article skipped | ust10y | tf=fundamental cnt=3 < 5
2025-08-29T19:50:10 | Added article | LF0UUL917 | to existing topic ust10y
2025-08-29T19:50:31 | Node relationship created | ust2y->eurusd | type=INFLUENCES
2025-08-29T19:50:31 | Replacement of article skipped | ust2y | tf=fundamental cnt=2 < 5
2025-08-29T19:50:32 | Added article | LF0UUL917 | to existing topic ust2y
2025-08-29T19:50:51 | Node relationship created | ust5y->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:50:51 | Replacement of article skipped | ust5y | tf=fundamental cnt=1 < 5
2025-08-29T19:50:51 | Added article | LF0UUL917 | to existing topic ust5y
2025-08-29T19:51:20 | Relationship duplicate | fed_policy->ust30y | type=INFLUENCES
2025-08-29T19:51:21 | Replacement of article skipped | ust30y | tf=fundamental cnt=2 < 5
2025-08-29T19:51:21 | Added article | LF0UUL917 | to existing topic ust30y
2025-08-29T19:51:49 | Relationship duplicate | fed_policy->dxy | type=INFLUENCES
2025-08-29T19:51:49 | Replacement of article skipped | dxy | tf=fundamental cnt=2 < 5
2025-08-29T19:51:49 | Added article | LF0UUL917 | to existing topic dxy
2025-08-29T19:52:18 | Node relationship created | sofr->ust5y | type=INFLUENCES
2025-08-29T19:52:18 | Replacement of article skipped | sofr | tf=fundamental cnt=2 < 5
2025-08-29T19:52:18 | Added article | LF0UUL917 | to existing topic sofr
2025-08-29T19:53:13 | Node relationship created | ust2y->bund10y | type=CORRELATES_WITH
2025-08-29T19:53:20 | No replacement of article | ust2y | new_article=3U94LCJKF
2025-08-29T19:53:24 | Triggered rewrite | ust2y | new_article=3U94LCJKF
2025-08-29T19:54:35 | Node relationship removed | us_inflation->usdcny | type=INFLUENCES
2025-08-29T19:54:35 | Node relationship created | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:54:40 | No replacement of article | us_inflation | new_article=97MD1FHW8
2025-08-29T19:54:40 | Added article | 97MD1FHW8 | to existing topic us_inflation
2025-08-29T19:55:50 | No replacement of article | fed_policy | new_article=97MD1FHW8
2025-08-29T19:55:50 | Added article | 97MD1FHW8 | to existing topic fed_policy
2025-08-29T19:56:14 | Node relationship created | ust10y->gold | type=INFLUENCES
2025-08-29T19:56:20 | No replacement of article | ust10y | new_article=97MD1FHW8
2025-08-29T19:56:20 | Added article | 97MD1FHW8 | to existing topic ust10y
2025-08-29T19:56:53 | Error | - | Relationship create error | ?->? | type=null Error: 'source'
2025-08-29T19:58:15 | Node relationship created | dxy->sx5e | type=INFLUENCES
2025-08-29T19:58:20 | No replacement of article | dxy | new_article=7XH2DKEKV
2025-08-29T19:58:23 | Triggered rewrite | dxy | new_article=7XH2DKEKV
2025-08-29T19:59:43 | Node relationship removed | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T19:59:43 | Node relationship created | fed_policy->bund10y | type=INFLUENCES
2025-08-29T19:59:47 | No replacement of article | fed_policy | new_article=HFUQY8O7W
2025-08-29T19:59:48 | Added article | HFUQY8O7W | to existing topic fed_policy
2025-08-29T20:00:40 | Node relationship removed | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T20:00:40 | Relationship duplicate | us_inflation->ust5y | type=INFLUENCES
2025-08-29T20:00:45 | No replacement of article | us_inflation | new_article=HFUQY8O7W
2025-08-29T20:00:45 | Added article | HFUQY8O7W | to existing topic us_inflation
2025-08-29T20:01:24 | Node relationship created | ust10y->us_unemployment_claims | type=CORRELATES_WITH
2025-08-29T20:01:29 | No replacement of article | ust10y | new_article=HFUQY8O7W
2025-08-29T20:01:29 | Added article | HFUQY8O7W | to existing topic ust10y
2025-08-29T20:02:02 | Node relationship created | ust2y->spx | type=INFLUENCES
2025-08-29T20:02:05 | No replacement of article | ust2y | new_article=HFUQY8O7W
2025-08-29T20:02:07 | Triggered rewrite | ust2y | new_article=HFUQY8O7W
2025-08-29T20:03:17 | Node relationship removed | fed_policy->bund10y | type=INFLUENCES
2025-08-29T20:03:18 | Node relationship created | fed_policy->usdcny | type=INFLUENCES
2025-08-29T20:03:18 | Replacement of article skipped | fed_policy | tf=medium cnt=2 < 5
2025-08-29T20:03:18 | Added article | Z7O1DCHS7 | to existing topic fed_policy
2025-08-29T20:04:11 | Node relationship removed | dxy->copper | type=INFLUENCES
2025-08-29T20:04:12 | Node relationship created | dxy->wti | type=INFLUENCES
2025-08-29T20:04:12 | Replacement of article skipped | dxy | tf=medium cnt=2 < 5
2025-08-29T20:04:12 | Added article | Z7O1DCHS7 | to existing topic dxy
2025-08-29T20:04:52 | Node relationship created | eurusd->ust30y | type=CORRELATES_WITH
2025-08-29T20:04:52 | Replacement of article skipped | eurusd | tf=medium cnt=2 < 5
2025-08-29T20:04:52 | Added article | Z7O1DCHS7 | to existing topic eurusd
2025-08-29T20:05:30 | Replacement of article skipped | ust10y | tf=medium cnt=2 < 5
2025-08-29T20:05:30 | Added article | Z7O1DCHS7 | to existing topic ust10y
2025-08-29T20:05:44 | Replacement of article skipped | ust2y | tf=medium cnt=1 < 5
2025-08-29T20:05:45 | Added article | Z7O1DCHS7 | to existing topic ust2y
2025-08-29T20:06:10 | Node relationship created | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-08-29T20:06:10 | Replacement of article skipped | us_inflation | tf=medium cnt=2 < 5
2025-08-29T20:06:10 | Added article | Z7O1DCHS7 | to existing topic us_inflation
2025-08-29T20:07:03 | Node relationship removed | dxy->sx5e | type=INFLUENCES
2025-08-29T20:07:04 | Node relationship created | dxy->brent | type=INFLUENCES
2025-08-29T20:07:07 | No replacement of article | dxy | new_article=UEMV4BE8U
2025-08-29T20:07:14 | Triggered rewrite | dxy | new_article=UEMV4BE8U
2025-08-29T20:08:07 | Node relationship created | spx->bund10y | type=CORRELATES_WITH
2025-08-29T20:08:09 | No replacement of article | spx | new_article=QQQGQC98H
2025-08-29T20:08:09 | Added article | QQQGQC98H | to existing topic spx
2025-08-29T20:08:35 | Node relationship removed | fed_policy->us_inflation | type=INFLUENCES
2025-08-29T20:08:35 | Node relationship created | fed_policy->us_unemployment_claims | type=INFLUENCES
2025-08-29T20:08:43 | No replacement of article | fed_policy | new_article=QQQGQC98H
2025-08-29T20:08:43 | Added article | QQQGQC98H | to existing topic fed_policy
2025-08-29T20:09:21 | Node relationship created | us_unemployment_claims->eurusd | type=INFLUENCES
2025-08-29T20:09:21 | Replacement of article skipped | us_unemployment_claims | tf=current cnt=4 < 5
2025-08-29T20:09:21 | Added article | QQQGQC98H | to existing topic us_unemployment_claims
2025-08-29T20:10:05 | Node relationship removed | ust10y->gold | type=CORRELATES_WITH
2025-08-29T20:10:05 | Node relationship created | ust10y->ust30y | type=CORRELATES_WITH
2025-08-29T20:10:09 | No replacement of article | ust10y | new_article=QQQGQC98H
2025-08-29T20:10:09 | Added article | QQQGQC98H | to existing topic ust10y
2025-08-29T20:10:57 | Node relationship created | dxy->bund10y | type=CORRELATES_WITH
2025-08-29T20:11:00 | No replacement of article | dxy | new_article=QQQGQC98H
2025-08-29T20:11:03 | Triggered rewrite | dxy | new_article=QQQGQC98H
2025-08-29T20:11:03 | Enrichment check | sofr | section=fundamental
2025-08-29T20:11:03 | Enrichment check | sofr | section=medium
2025-08-29T20:11:57 | Enrichment check | sofr | section=current
