2025-09-03T00:01:55 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T11:02:44 | Relationship duplicate | spx->ust2y | type=INFLUENCES
2025-09-03T11:02:45 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T11:02:45 | Added article | D2E0FEKSK | to existing topic spx
2025-09-03T11:03:37 | Node relationship created | sx5e->ust2y | type=INFLUENCES
2025-09-03T11:03:37 | Replacement of article skipped | sx5e | no competing candidates in timeframe current
2025-09-03T11:03:37 | Added article | D2E0FEKSK | to existing topic sx5e
2025-09-03T11:05:06 | Node relationship removed | euro_inflation->ust30y | type=INFLUENCES
2025-09-03T11:05:07 | Node relationship created | euro_inflation->us_core_pce | type=INFLUENCES
2025-09-03T11:05:07 | Replacement of article skipped | euro_inflation | tf=current cnt=2 < 5
2025-09-03T11:05:07 | Added article | D2E0FEKSK | to existing topic euro_inflation
2025-09-03T11:05:07 | Error | - | find_influences_and_correlates skipped: Topic missing | topic_id=euro_at1_issuance Error: Failed to fetch node from Neo4j: Node with id 'euro_at1_issuance' not found.
2025-09-03T11:05:08 | Replacement of article skipped | euro_at1_issuance | tf=current cnt=0 < 5
2025-09-03T11:05:08 | Added article | D2E0FEKSK | to existing topic euro_at1_issuance
2025-09-03T11:06:19 | Node relationship removed | fed_policy->us_inflation | type=INFLUENCES
2025-09-03T11:06:19 | Node relationship created | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:06:20 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T11:06:20 | Added article | D2E0FEKSK | to existing topic fed_policy
2025-09-03T11:07:53 | Node relationship removed | ust10y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:07:54 | Node relationship created | ust10y->gilt10y | type=INFLUENCES
2025-09-03T11:07:55 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T11:07:56 | Added article | 3VOGGBJQK | to existing topic ust10y
2025-09-03T11:09:24 | Node relationship removed | ust2y->gilt10y | type=CORRELATES_WITH
2025-09-03T11:09:25 | Node relationship created | ust2y->sofr | type=CORRELATES_WITH
2025-09-03T11:09:25 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T11:09:25 | Added article | 3VOGGBJQK | to existing topic ust2y
2025-09-03T11:10:15 | Node relationship removed | ust5y->usdcny | type=INFLUENCES
2025-09-03T11:10:15 | Node relationship created | ust5y->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T11:10:15 | Replacement of article skipped | ust5y | no competing candidates in timeframe current
2025-09-03T11:10:16 | Added article | 3VOGGBJQK | to existing topic ust5y
2025-09-03T11:11:00 | Node relationship removed | ust30y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:11:00 | Node relationship created | ust30y->ecb_policy | type=INFLUENCES
2025-09-03T11:11:01 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T11:11:01 | Added article | 3VOGGBJQK | to existing topic ust30y
2025-09-03T11:12:09 | Node relationship removed | gilt10y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:12:09 | Node relationship created | gilt10y->ust2y | type=INFLUENCES
2025-09-03T11:12:10 | Replacement of article skipped | gilt10y | no competing candidates in timeframe current
2025-09-03T11:12:10 | Added article | 3VOGGBJQK | to existing topic gilt10y
2025-09-03T11:13:26 | Node relationship created | uk_30yr_gilt_yield->fed_policy | type=CORRELATES_WITH
2025-09-03T11:13:26 | Replacement of article skipped | uk_30yr_gilt_yield | no competing candidates in timeframe current
2025-09-03T11:13:27 | Added article | 3VOGGBJQK | to existing topic uk_30yr_gilt_yield
2025-09-03T11:15:47 | Node relationship removed | gold->usdjpy | type=CORRELATES_WITH
2025-09-03T11:15:47 | Node relationship created | gold->copper | type=CORRELATES_WITH
2025-09-03T11:15:48 | Replacement of article skipped | gold | no competing candidates in timeframe current
2025-09-03T11:15:48 | Added article | 3VOGGBJQK | to existing topic gold
2025-09-03T11:17:25 | Node relationship created | spx->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T11:17:26 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T11:17:26 | Added article | 3VOGGBJQK | to existing topic spx
2025-09-03T11:18:29 | Node relationship created | ust10y->sx5e | type=INFLUENCES
2025-09-03T11:18:30 | Replacement of article skipped | sx5e | no competing candidates in timeframe current
2025-09-03T11:18:30 | Added article | 3VOGGBJQK | to existing topic sx5e
2025-09-03T11:19:31 | Node relationship removed | gbpusd->wti | type=CORRELATES_WITH
2025-09-03T11:19:31 | Node relationship created | gbpusd->usdjpy | type=CORRELATES_WITH
2025-09-03T11:19:31 | Replacement of article skipped | gbpusd | no competing candidates in timeframe current
2025-09-03T11:19:32 | Added article | 3VOGGBJQK | to existing topic gbpusd
2025-09-03T11:22:02 | Node relationship removed | dxy->oil_price_decline | type=CORRELATES_WITH
2025-09-03T11:22:02 | Node relationship created | dxy->us_services_pmi | type=CORRELATES_WITH
2025-09-03T11:22:03 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T11:22:03 | Added article | 3VOGGBJQK | to existing topic dxy
2025-09-03T11:23:25 | Node relationship removed | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-09-03T11:23:25 | Node relationship created | us_inflation->usdcny | type=INFLUENCES
2025-09-03T11:23:26 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T11:23:26 | Added article | 3VOGGBJQK | to existing topic us_inflation
2025-09-03T11:24:10 | Node relationship removed | us_services_pmi->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:24:10 | Node relationship created | us_services_pmi->us_unemployment_claims | type=INFLUENCES
2025-09-03T11:24:10 | Replacement of article skipped | us_services_pmi | no competing candidates in timeframe current
2025-09-03T11:24:10 | Added article | 3VOGGBJQK | to existing topic us_services_pmi
2025-09-03T11:25:23 | Node relationship removed | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:25:23 | Node relationship created | fed_policy->us_inflation | type=INFLUENCES
2025-09-03T11:25:23 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T11:25:24 | Added article | 3VOGGBJQK | to existing topic fed_policy
2025-09-03T11:27:29 | Node relationship removed | ust10y->gilt10y | type=INFLUENCES
2025-09-03T11:27:29 | Node relationship created | ust10y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:27:29 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T11:27:29 | Added article | 1TC1FQ8CG | to existing topic ust10y
2025-09-03T11:28:25 | Node relationship removed | dxy->copper | type=INFLUENCES
2025-09-03T11:28:26 | Node relationship created | dxy->brent | type=INFLUENCES
2025-09-03T11:28:26 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T11:28:26 | Added article | 1TC1FQ8CG | to existing topic dxy
2025-09-03T11:29:51 | Node relationship created | gold->eurusd | type=INFLUENCES
2025-09-03T11:29:51 | Replacement of article skipped | eurusd | no competing candidates in timeframe current
2025-09-03T11:29:51 | Added article | 9LYZMOKGU | to existing topic eurusd
2025-09-03T11:30:37 | Node relationship created | eu_defense_spending->dxy | type=INFLUENCES
2025-09-03T11:30:38 | Replacement of article skipped | eu_defense_spending | tf=current cnt=1 < 5
2025-09-03T11:30:38 | Added article | 9LYZMOKGU | to existing topic eu_defense_spending
2025-09-03T11:31:48 | Node relationship created | us_sanctions_iranshipping->ust10y | type=INFLUENCES
2025-09-03T11:31:48 | Replacement of article skipped | us_sanctions_iranshipping | tf=current cnt=2 < 5
2025-09-03T11:31:48 | Added article | 9LYZMOKGU | to existing topic us_sanctions_iranshipping
2025-09-03T11:33:20 | Node relationship removed | us_inflation->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T11:33:20 | Node relationship created | us_inflation->eurusd | type=INFLUENCES
2025-09-03T11:33:20 | Replacement of article skipped | us_inflation | no competing candidates in timeframe medium
2025-09-03T11:33:21 | Added article | QR9EVLS0N | to existing topic us_inflation
2025-09-03T11:34:29 | Replacement of article skipped | fed_policy | no competing candidates in timeframe medium
2025-09-03T11:34:29 | Added article | QR9EVLS0N | to existing topic fed_policy
2025-09-03T11:35:25 | Node relationship removed | ecb_policy->sx5e | type=INFLUENCES
2025-09-03T11:35:25 | Node relationship created | ecb_policy->ust30y | type=INFLUENCES
2025-09-03T11:35:25 | Replacement of article skipped | ecb_policy | no competing candidates in timeframe medium
2025-09-03T11:35:26 | Added article | QR9EVLS0N | to existing topic ecb_policy
2025-09-03T11:36:55 | Node relationship removed | ust10y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:36:56 | Node relationship created | ust10y->gilt10y | type=INFLUENCES
2025-09-03T11:36:56 | Replacement of article skipped | ust10y | no competing candidates in timeframe medium
2025-09-03T11:36:56 | Added article | QR9EVLS0N | to existing topic ust10y
2025-09-03T11:38:01 | Node relationship removed | dxy->us_services_pmi | type=CORRELATES_WITH
2025-09-03T11:38:01 | Node relationship created | dxy->oil_price_decline | type=CORRELATES_WITH
2025-09-03T11:38:02 | Replacement of article skipped | dxy | no competing candidates in timeframe medium
2025-09-03T11:38:02 | Added article | QR9EVLS0N | to existing topic dxy
2025-09-03T11:38:59 | Node relationship removed | spx->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:38:59 | Relationship duplicate | oil_price_decline->spx | type=INFLUENCES
2025-09-03T11:38:59 | Replacement of article skipped | spx | no competing candidates in timeframe medium
2025-09-03T11:38:59 | Added article | QR9EVLS0N | to existing topic spx
2025-09-03T11:39:54 | Replacement of article skipped | sx5e | tf=medium cnt=4 < 5
2025-09-03T11:39:54 | Added article | QR9EVLS0N | to existing topic sx5e
2025-09-03T11:39:55 | Enrichment check | uk_30yr_gilt_yield | section=fundamental
2025-09-03T11:40:53 | Enrichment check | uk_30yr_gilt_yield | section=medium
2025-09-03T11:40:53 | Enrichment check | uk_30yr_gilt_yield | section=current
2025-09-03T11:40:53 | Enrichment summary | topic=uk_30yr_gilt_yield (UK 30-Year Gilt Yield) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T11:40:54 | Pipeline complete | pipeline | run complete
2025-09-03T11:41:31 | Retrieved articles | Gold | Retrieved 10 from API
2025-09-03T11:43:52 | Node relationship removed | china_exports->ust30y | type=INFLUENCES
2025-09-03T11:43:52 | Node relationship created | china_exports->ust5y | type=INFLUENCES
2025-09-03T11:43:52 | Replacement of article skipped | china_exports | no competing candidates in timeframe current
2025-09-03T11:43:53 | Added article | UDNQNS8NV | to existing topic china_exports
2025-09-03T11:43:53 | Enrichment check | gold | section=fundamental
2025-09-03T11:43:53 | Enrichment check | gold | section=medium
2025-09-03T11:43:53 | Enrichment check | gold | section=current
2025-09-03T11:43:54 | Enrichment summary | topic=gold (Gold) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T11:43:54 | Pipeline complete | pipeline | run complete
2025-09-03T11:43:55 | Retrieved articles | USD/CNY | Retrieved 10 from API
2025-09-03T11:48:47 | Node relationship removed | ust10y->usdcny | type=INFLUENCES
2025-09-03T11:48:47 | Node relationship created | ust10y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T11:48:48 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T11:48:48 | Added article | XPA1OXOEC | to existing topic ust10y
2025-09-03T11:54:52 | Node relationship removed | gold->usdcny | type=INFLUENCES
2025-09-03T11:54:52 | Relationship duplicate | gold->ust5y | type=INFLUENCES
2025-09-03T11:54:53 | Replacement of article skipped | gold | no competing candidates in timeframe current
2025-09-03T11:54:53 | Added article | XPA1OXOEC | to existing topic gold
2025-09-03T11:54:57 | Enrichment check | usdcny | section=fundamental
2025-09-03T11:55:50 | Enrichment check | usdcny | section=medium
2025-09-03T11:55:50 | Enrichment check | usdcny | section=current
2025-09-03T11:55:50 | Enrichment summary | topic=usdcny (USD/CNY) | 0 new fundamental articles, 0 new medium articles, 0 new current articles
2025-09-03T11:55:50 | Pipeline complete | pipeline | run complete
2025-09-03T11:55:52 | Retrieved articles | European AT1 bond issuance | Retrieved 10 from API
2025-09-03T12:00:21 | Node relationship removed | fed_policy->sofr | type=INFLUENCES
2025-09-03T12:00:21 | Node relationship created | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T12:00:21 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T12:00:21 | Added article | UUM1FR4P1 | to existing topic fed_policy
2025-09-03T12:04:05 | Node relationship removed | us_inflation->usdcny | type=INFLUENCES
2025-09-03T12:04:06 | Node relationship created | us_inflation->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:04:06 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T12:04:06 | Added article | UUM1FR4P1 | to existing topic us_inflation
2025-09-03T12:04:35 | Node relationship removed | us_core_pce->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:04:36 | Node relationship created | us_core_pce->fed_policy | type=INFLUENCES
2025-09-03T12:04:36 | Replacement of article skipped | us_core_pce | no competing candidates in timeframe current
2025-09-03T12:04:36 | Added article | UUM1FR4P1 | to existing topic us_core_pce
2025-09-03T12:05:15 | Node relationship removed | us_services_pmi->us_unemployment_claims | type=INFLUENCES
2025-09-03T12:05:15 | Node relationship created | us_services_pmi->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:05:16 | Replacement of article skipped | us_services_pmi | no competing candidates in timeframe current
2025-09-03T12:05:16 | Added article | UUM1FR4P1 | to existing topic us_services_pmi
2025-09-03T12:06:32 | Node relationship removed | us_unemployment_claims->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T12:06:32 | Node relationship created | us_unemployment_claims->us_services_pmi | type=INFLUENCES
2025-09-03T12:06:33 | Replacement of article skipped | us_unemployment_claims | no competing candidates in timeframe current
2025-09-03T12:06:33 | Added article | UUM1FR4P1 | to existing topic us_unemployment_claims
2025-09-03T12:06:59 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T12:06:59 | Added article | UUM1FR4P1 | to existing topic ust10y
2025-09-03T12:07:53 | Node relationship removed | ust2y->jgb10y | type=CORRELATES_WITH
2025-09-03T12:07:53 | Node relationship created | ust2y->fed_powell_rate_cut_hint_2025 | type=CORRELATES_WITH
2025-09-03T12:07:54 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T12:07:54 | Added article | UUM1FR4P1 | to existing topic ust2y
2025-09-03T12:09:07 | Node relationship removed | ust5y->gold | type=INFLUENCES
2025-09-03T12:09:08 | Node relationship created | ust5y->uk_30yr_gilt_yield | type=INFLUENCES
2025-09-03T12:09:08 | Replacement of article skipped | ust5y | no competing candidates in timeframe current
2025-09-03T12:09:08 | Added article | UUM1FR4P1 | to existing topic ust5y
2025-09-03T12:09:52 | Node relationship removed | ust30y->ecb_policy | type=INFLUENCES
2025-09-03T12:09:52 | Node relationship created | ust30y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:09:52 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T12:09:52 | Added article | UUM1FR4P1 | to existing topic ust30y
2025-09-03T12:10:39 | Node relationship removed | gold->copper | type=CORRELATES_WITH
2025-09-03T12:10:40 | Node relationship created | gold->fed_rate_cut_sept17_2025 | type=CORRELATES_WITH
2025-09-03T12:10:40 | Replacement of article skipped | gold | no competing candidates in timeframe current
2025-09-03T12:10:40 | Added article | UUM1FR4P1 | to existing topic gold
2025-09-03T12:11:45 | Node relationship created | wti->copper | type=CORRELATES_WITH
2025-09-03T12:11:45 | Replacement of article skipped | wti | no competing candidates in timeframe current
2025-09-03T12:11:46 | Added article | UUM1FR4P1 | to existing topic wti
2025-09-03T12:13:12 | Node relationship removed | brent->ust5y | type=INFLUENCES
2025-09-03T12:13:13 | Node relationship created | brent->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:13:13 | Replacement of article skipped | brent | no competing candidates in timeframe current
2025-09-03T12:13:13 | Added article | UUM1FR4P1 | to existing topic brent
2025-09-03T12:14:30 | Node relationship removed | spx->copper | type=CORRELATES_WITH
2025-09-03T12:14:30 | Node relationship created | spx->fed_rate_cut_sept17_2025 | type=CORRELATES_WITH
2025-09-03T12:14:30 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T12:14:31 | Added article | UUM1FR4P1 | to existing topic spx
2025-09-03T12:15:52 | Node relationship removed | dxy->brent | type=INFLUENCES
2025-09-03T12:15:53 | Node relationship created | dxy->us_crude_inventory | type=INFLUENCES
2025-09-03T12:15:53 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T12:15:53 | Added article | UUM1FR4P1 | to existing topic dxy
2025-09-03T12:16:31 | Node relationship created | eurusd->gold | type=INFLUENCES
2025-09-03T12:16:31 | Replacement of article skipped | eurusd | no competing candidates in timeframe current
2025-09-03T12:16:31 | Added article | UUM1FR4P1 | to existing topic eurusd
2025-09-03T12:17:28 | Node relationship created | us_services_pmi->usdcny | type=INFLUENCES
2025-09-03T12:17:29 | Replacement of article skipped | usdcny | tf=current cnt=3 < 5
2025-09-03T12:17:29 | Added article | UUM1FR4P1 | to existing topic usdcny
2025-09-03T12:18:05 | Topic rejected | name=Trump-Tied Crypto Token Opens for Trading | category=None | failure=proposal_null
2025-09-03T12:18:06 | Failed to create new topic for article | DJP5IZC1T | to new topic None
2025-09-03T12:20:09 | Relationship duplicate | oil_price_decline->spx | type=INFLUENCES
2025-09-03T12:20:09 | Replacement of article skipped | spx | no competing candidates in timeframe current
2025-09-03T12:20:09 | Added article | 3S52P5P60 | to existing topic spx
2025-09-03T12:20:49 | Replacement of article skipped | ust10y | no competing candidates in timeframe current
2025-09-03T12:20:49 | Added article | 3S52P5P60 | to existing topic ust10y
2025-09-03T12:21:22 | Node relationship removed | ust2y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:21:22 | Node relationship created | ust2y->gilt10y | type=INFLUENCES
2025-09-03T12:21:23 | Replacement of article skipped | ust2y | no competing candidates in timeframe current
2025-09-03T12:21:23 | Added article | 3S52P5P60 | to existing topic ust2y
2025-09-03T12:22:11 | Node relationship removed | ust5y->us_services_pmi | type=CORRELATES_WITH
2025-09-03T12:22:11 | Node relationship created | ust5y->oil_price_decline | type=CORRELATES_WITH
2025-09-03T12:22:11 | Replacement of article skipped | ust5y | no competing candidates in timeframe current
2025-09-03T12:22:11 | Added article | 3S52P5P60 | to existing topic ust5y
2025-09-03T12:23:02 | Node relationship removed | ust30y->us_unemployment_claims | type=INFLUENCES
2025-09-03T12:23:02 | Relationship duplicate | fed_powell_rate_cut_hint_2025->ust30y | type=INFLUENCES
2025-09-03T12:23:03 | Replacement of article skipped | ust30y | no competing candidates in timeframe current
2025-09-03T12:23:03 | Added article | 3S52P5P60 | to existing topic ust30y
2025-09-03T12:24:27 | Node relationship removed | dxy->us_crude_inventory | type=INFLUENCES
2025-09-03T12:24:28 | Node relationship created | dxy->brent | type=INFLUENCES
2025-09-03T12:24:28 | Replacement of article skipped | dxy | no competing candidates in timeframe current
2025-09-03T12:24:28 | Added article | 3S52P5P60 | to existing topic dxy
2025-09-03T12:26:35 | Node relationship removed | eurusd->sx5e | type=INFLUENCES
2025-09-03T12:26:35 | Node relationship created | eurusd->usdcny | type=INFLUENCES
2025-09-03T12:26:36 | Replacement of article skipped | eurusd | no competing candidates in timeframe current
2025-09-03T12:26:36 | Added article | 3S52P5P60 | to existing topic eurusd
2025-09-03T12:27:45 | Node relationship removed | gold->gbpusd | type=CORRELATES_WITH
2025-09-03T12:27:45 | Node relationship created | gold->fed_powell_rate_cut_hint_2025 | type=CORRELATES_WITH
2025-09-03T12:27:46 | Replacement of article skipped | gold | no competing candidates in timeframe current
2025-09-03T12:27:46 | Added article | 3S52P5P60 | to existing topic gold
2025-09-03T12:29:15 | Node relationship removed | wti->ust30y | type=INFLUENCES
2025-09-03T12:29:15 | Node relationship created | wti->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:29:16 | Replacement of article skipped | wti | no competing candidates in timeframe current
2025-09-03T12:29:16 | Added article | 3S52P5P60 | to existing topic wti
2025-09-03T12:30:51 | Node relationship removed | brent->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:30:52 | Node relationship created | brent->oil_price_decline | type=INFLUENCES
2025-09-03T12:30:52 | Replacement of article skipped | brent | no competing candidates in timeframe current
2025-09-03T12:30:53 | Added article | 3S52P5P60 | to existing topic brent
2025-09-03T12:31:44 | Node relationship removed | us_inflation->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:31:45 | Node relationship created | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-09-03T12:31:45 | Replacement of article skipped | us_inflation | no competing candidates in timeframe current
2025-09-03T12:31:45 | Added article | 3S52P5P60 | to existing topic us_inflation
2025-09-03T12:32:27 | Node relationship removed | us_core_pce->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T12:32:28 | Node relationship created | us_core_pce->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:32:28 | Replacement of article skipped | us_core_pce | no competing candidates in timeframe current
2025-09-03T12:32:28 | Added article | 3S52P5P60 | to existing topic us_core_pce
2025-09-03T12:33:49 | Node relationship removed | us_services_pmi->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:33:49 | Node relationship created | us_services_pmi->us_unemployment_claims | type=INFLUENCES
2025-09-03T12:33:50 | Replacement of article skipped | us_services_pmi | no competing candidates in timeframe current
2025-09-03T12:33:50 | Added article | 3S52P5P60 | to existing topic us_services_pmi
2025-09-03T12:35:08 | Node relationship removed | us_unemployment_claims->us_services_pmi | type=INFLUENCES
2025-09-03T12:35:09 | Node relationship created | us_unemployment_claims->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:35:09 | Replacement of article skipped | us_unemployment_claims | no competing candidates in timeframe current
2025-09-03T12:35:09 | Added article | 3S52P5P60 | to existing topic us_unemployment_claims
2025-09-03T12:36:15 | Node relationship removed | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T12:36:16 | Node relationship created | fed_policy->sofr | type=INFLUENCES
2025-09-03T12:36:16 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T12:36:16 | Added article | 3S52P5P60 | to existing topic fed_policy
2025-09-03T12:37:13 | Node relationship created | euro_inflation->spx | type=INFLUENCES
2025-09-03T12:37:14 | Replacement of article skipped | spx | no competing candidates in timeframe fundamental
2025-09-03T12:37:14 | Added article | 2I5V3LF8L | to existing topic spx
2025-09-03T12:38:28 | Node relationship removed | us_inflation->us_unemployment_claims | type=INFLUENCES
2025-09-03T12:38:29 | Relationship duplicate | us_inflation->ust5y | type=INFLUENCES
2025-09-03T12:38:31 | Replacement of article skipped | us_inflation | no competing candidates in timeframe fundamental
2025-09-03T12:38:31 | Added article | 2I5V3LF8L | to existing topic us_inflation
2025-09-03T12:40:08 | Node relationship removed | fed_policy->ust5y | type=INFLUENCES
2025-09-03T12:40:09 | Node relationship created | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:40:09 | Replacement of article skipped | fed_policy | no competing candidates in timeframe fundamental
2025-09-03T12:40:09 | Added article | 2I5V3LF8L | to existing topic fed_policy
2025-09-03T12:40:42 | Node relationship removed | us_core_pce->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:40:42 | Node relationship created | us_core_pce->usdcny | type=INFLUENCES
2025-09-03T12:40:43 | Replacement of article skipped | us_core_pce | tf=fundamental cnt=4 < 5
2025-09-03T12:40:43 | Added article | 2I5V3LF8L | to existing topic us_core_pce
2025-09-03T12:41:29 | Node relationship removed | us_services_pmi->us_unemployment_claims | type=INFLUENCES
2025-09-03T12:41:30 | Node relationship created | us_services_pmi->fed_powell_rate_cut_hint_2025 | type=INFLUENCES
2025-09-03T12:41:30 | Replacement of article skipped | us_services_pmi | tf=fundamental cnt=1 < 5
2025-09-03T12:41:31 | Added article | 2I5V3LF8L | to existing topic us_services_pmi
2025-09-03T12:44:19 | Node relationship created | us_unemployment_claims->us_services_pmi | type=CORRELATES_WITH
2025-09-03T12:44:20 | Replacement of article skipped | us_unemployment_claims | tf=fundamental cnt=2 < 5
2025-09-03T12:44:20 | Added article | 2I5V3LF8L | to existing topic us_unemployment_claims
2025-09-03T12:45:24 | Node relationship removed | ust10y->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:45:24 | Node relationship created | ust10y->usdcny | type=INFLUENCES
2025-09-03T12:45:25 | Replacement of article skipped | ust10y | no competing candidates in timeframe fundamental
2025-09-03T12:45:25 | Added article | 2I5V3LF8L | to existing topic ust10y
2025-09-03T12:47:36 | Node relationship removed | fed_policy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:47:37 | Node relationship created | fed_policy->ust5y | type=INFLUENCES
2025-09-03T12:47:38 | Replacement of article skipped | fed_policy | no competing candidates in timeframe fundamental
2025-09-03T12:47:38 | Added article | RXQP819RS | to existing topic fed_policy
2025-09-03T12:47:59 | Relationship duplicate | us_inflation->ust5y | type=INFLUENCES
2025-09-03T12:47:59 | Replacement of article skipped | us_inflation | no competing candidates in timeframe fundamental
2025-09-03T12:48:00 | Added article | RXQP819RS | to existing topic us_inflation
2025-09-03T12:48:32 | Node relationship removed | us_core_pce->usdcny | type=INFLUENCES
2025-09-03T12:48:32 | Node relationship created | us_core_pce->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:48:33 | Replacement of article skipped | us_core_pce | tf=fundamental cnt=4 < 5
2025-09-03T12:48:33 | Added article | RXQP819RS | to existing topic us_core_pce
2025-09-03T12:49:36 | Node relationship removed | ust10y->wti | type=CORRELATES_WITH
2025-09-03T12:49:37 | Node relationship created | ust10y->fed_powell_rate_cut_hint_2025 | type=CORRELATES_WITH
2025-09-03T12:49:37 | Replacement of article skipped | ust10y | no competing candidates in timeframe fundamental
2025-09-03T12:49:37 | Added article | RXQP819RS | to existing topic ust10y
2025-09-03T12:50:52 | Node relationship removed | dxy->usdcny | type=INFLUENCES
2025-09-03T12:50:52 | Node relationship created | dxy->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:50:52 | Replacement of article skipped | dxy | no competing candidates in timeframe fundamental
2025-09-03T12:50:52 | Added article | RXQP819RS | to existing topic dxy
2025-09-03T12:52:26 | Node relationship removed | fed_policy->usdcny | type=INFLUENCES
2025-09-03T12:52:26 | Node relationship created | fed_policy->us_services_pmi | type=INFLUENCES
2025-09-03T12:52:27 | Replacement of article skipped | fed_policy | no competing candidates in timeframe current
2025-09-03T12:52:27 | Added article | 15OCB8MGQ | to existing topic fed_policy
2025-09-03T12:53:30 | Node relationship created | fed_rate_cut_sept17_2025->us_core_pce | type=INFLUENCES
2025-09-03T12:53:30 | Replacement of article skipped | fed_rate_cut_sept17_2025 | tf=current cnt=3 < 5
2025-09-03T12:53:30 | Added article | 15OCB8MGQ | to existing topic fed_rate_cut_sept17_2025
2025-09-03T12:54:33 | Node relationship removed | fed_powell_rate_cut_hint_2025->usdjpy | type=INFLUENCES
2025-09-03T12:54:34 | Node relationship created | fed_powell_rate_cut_hint_2025->fed_rate_cut_sept17_2025 | type=INFLUENCES
2025-09-03T12:54:34 | Replacement of article skipped | fed_powell_rate_cut_hint_2025 | tf=current cnt=4 < 5
2025-09-03T12:54:34 | Added article | 15OCB8MGQ | to existing topic fed_powell_rate_cut_hint_2025
2025-09-03T12:54:35 | Enrichment check | eur_at1_issuance | section=fundamental
